2026-05-20 18:37:39.380 [Form1.cs:182] Application startup
2026-05-20 19:14:25.436 [PortIO.cs:29] OpenPort result:True
2026-05-20 19:14:25.441 [PortIO.cs:43] WritePort result:True | Data: 1BF006
2026-05-20 20:38:06.745 [PortIO.cs:43] WritePort result:True | Data: 41542B4D515454504F52543D393838330D0A
2026-05-20 20:38:06.759 [PortIO.cs:62] ReadPort get:2 read:2 | Data: 4F4B000000000000000000000000000000000000000000000000000000000000
2026-05-20 20:38:06.760 [PortIO.cs:43] WritePort result:True | Data: 41542B4D5154544445564943454E414D453D757365720D0A
2026-05-20 20:38:06.775 [PortIO.cs:62] ReadPort get:2 read:2 | Data: 4F4B000000000000000000000000000000000000000000000000000000000000
2026-05-20 20:38:06.777 [PortIO.cs:43] WritePort result:True | Data: 41542B4D51545444455649434549443D3131313232323535350D0A
2026-05-20 20:38:06.806 [PortIO.cs:62] ReadPort get:2 read:2 | Data: 4F4B000000000000000000000000000000000000000000000000000000000000
2026-05-20 20:38:06.806 [PortIO.cs:43] WritePort result:True | Data: 41542B4D51545450415353574F52443D757365723132330D0A
2026-05-20 20:38:06.821 [PortIO.cs:62] ReadPort get:2 read:2 | Data: 4F4B000000000000000000000000000000000000000000000000000000000000
2026-05-20 20:38:06.822 [PortIO.cs:43] WritePort result:True | Data: 41542B4D515454544F5049433D2F7379732F3131313232323535352F757365722F646174612C2F7379732F3131313232323535352F757365722F7374617475730D0A
2026-05-20 20:38:06.837 [PortIO.cs:62] ReadPort get:2 read:2 | Data: 4F4B000000000000000000000000000000000000000000000000000000000000
2026-05-20 20:38:06.838 [PortIO.cs:43] WritePort result:True | Data: 41542B4D51545450494E473D31300D0A
2026-05-20 20:38:06.853 [PortIO.cs:62] ReadPort get:2 read:2 | Data: 4F4B000000000000000000000000000000000000000000000000000000000000
2026-05-20 20:38:06.854 [PortIO.cs:43] WritePort result:True | Data: 1BF016
2026-05-20 20:38:06.868 [PortIO.cs:62] ReadPort get:2 read:2 | Data: 4F4B000000000000000000000000000000000000000000000000000000000000
2026-05-20 20:38:06.870 [PortIO.cs:43] WritePort result:True | Data: 100601
2026-05-20 20:38:07.385 [PortIO.cs:70] ClosePort result:success
